Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,C0,C1,C3
RANBP6,-0.204220462,6.469046107,62.61210057,2.52E-15,0.003096737,0.003664222,2704,2286,1910,1768,2444,1752,1586
PRRC1,-0.124121697,7.879828475,62.58906042,2.55E-15,0.002300484,0.001978677,7559,5837,4737,4394,6650,5258,4177
PHTF2,-0.192563868,6.642478699,62.49533477,2.67E-15,0.003055228,0.003244184,3052,2683,2227,1818,2584,2170,1766
HAS2,-0.483353244,3.982248082,61.70596922,3.99E-15,0.005659662,0.008152843,605,396,350,310,404,234,284
CDCA3,0.265192346,5.739618614,61.54807609,4.32E-15,0.003223719,0.003392298,1343,956,1307,1046,1464,1305,1197
RNF167,0.196018351,6.595944132,61.42960047,4.59E-15,0.003067758,0.00256546,2354,2001,2229,1901,2474,2361,2244
TMEM59,-0.181875418,6.772321554,61.42555773,4.60E-15,0.003013605,0.002556731,3220,3013,2319,2055,2809,2549,1855
CLN6,0.200599148,6.532727186,60.89544177,6.02E-15,0.003083062,0.00406268,2209,1664,2257,2041,2452,2224,2033
WTIP,0.204186521,6.437967481,60.85688863,6.14E-15,0.003102863,0.004624883,2400,1652,1946,1649,2543,2293,1639
RBM5,-0.116554031,8.030116261,60.79015477,6.35E-15,0.002173679,0.001759368,7882,6726,5395,4923,6963,6286,4526
PRMT2,-0.107420576,8.262354896,60.72531619,6.56E-15,0.001973301,0.001641919,8926,8137,6172,5822,7800,7803,5377
TMEM66,-0.107833444,8.267521806,60.59187215,7.02E-15,0.001968814,0.001749316,8860,8032,6746,5777,7988,7250,5528
CASKIN2,0.207834383,6.379216032,60.54640758,7.19E-15,0.003113614,0.003430746,2146,1728,1782,1589,2227,2280,1724
ZBTB40,0.154702528,7.229704796,60.51435961,7.30E-15,0.002784422,0.002253844,3737,3424,3208,2876,4020,3922,3096
SEZ6,0.515587252,3.835306763,59.55308835,1.19E-14,0.006107393,0.007154258,250,198,363,336,399,309,399
GPBP1L1,-0.15450694,7.18061484,59.49529953,1.23E-14,0.002814495,0.002749353,4429,3883,2908,2711,3919,3247,2603
RB1,-0.13981764,7.520310401,59.44598727,1.26E-14,0.002585065,0.003932705,4948,4546,4271,3883,4611,3514,3859
NCLN,0.138527022,7.530385126,59.39376983,1.29E-14,0.002577581,0.00349559,5058,3753,4193,3550,4832,4869,3729
EMD,0.185620031,6.655693809,58.72779299,1.81E-14,0.003051456,0.002904697,2817,2014,2217,1870,2993,2532,1987
SCAMP1,-0.192627603,6.510415668,58.44135607,2.09E-14,0.003088038,0.003874104,2949,2475,1795,1638,2557,1921,1612
