Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
FAM160B1,227,0.84,24,12,0.58,2,16,0.88,3,49,0.96,8
FAM160B2,6,0.5,1,15,0.67,2,NA,NA,0,NA,NA,0
FAM161B,NA,NA,0,9,1,1,NA,NA,0,NA,NA,0
FAM162A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM165B,NA,NA,0,12,0.75,2,NA,NA,0,NA,NA,0
FAM167A,7,0.71,1,17,0.71,2,NA,NA,0,NA,NA,0
FAM168A,606,0.82,43,212,0.81,19,5,1.2,1,90,1.09,9
FAM168B,5685,0.9,45,3871,0.89,61,154,0.95,13,699,0.97,48
FAM169A,340,0.81,33,44,0.73,6,14,0.93,2,32,1.19,4
FAM171A1,521,0.76,41,333,0.92,32,NA,NA,0,39,0.87,4
FAM171A2,NA,NA,0,43,0.7,6,13,1,1,9,1,1
FAM171B,329,0.87,25,44,0.89,4,9,1.22,2,19,1,3
FAM172A,60,0.63,9,30,0.97,4,NA,NA,0,9,1,1
FAM173A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM173B,98,0.85,8,26,0.73,3,15,1.33,3,36,1.06,3
FAM174A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM175B,94,0.77,11,15,0.53,2,NA,NA,0,10,1.2,2
FAM177A1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM177B,NA,NA,0,NA,NA,0,NA,NA,0,6,0.33,1
FAM178A,326,0.73,35,168,0.85,14,27,0.96,4,122,1.02,13
FAM179B,111,0.77,12,58,0.84,7,7,0.86,1,25,0.84,2
FAM184A,63,0.71,8,16,0.63,2,NA,NA,0,5,0.8,1
FAM185A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM188A,5,0.8,1,20,0.7,3,NA,NA,0,NA,NA,0
FAM188B,14,0.86,2,NA,NA,0,NA,NA,0,NA,NA,0
FAM189A1,11,0.73,2,11,0.55,2,NA,NA,0,NA,NA,0
FAM189B,6,1,1,48,0.77,5,NA,NA,0,5,1,1
FAM18B1,21,0.71,3,NA,NA,0,NA,NA,0,NA,NA,0
FAM190B,312,0.77,36,104,0.88,8,NA,NA,0,27,1.04,5
FAM192A,NA,NA,0,9,0.78,1,NA,NA,0,NA,NA,0
FAM193A,26,0.96,4,40,0.78,5,NA,NA,0,8,1,1
FAM193B,18,1,2,49,0.94,5,NA,NA,0,13,1,1
FAM195A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM196A,NA,NA,0,NA,NA,0,NA,NA,0,5,1,1
FAM196B,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FAM198A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM199X,1405,0.86,63,120,0.83,13,61,1.16,12,272,1.11,23
FAM19A1,NA,NA,0,NA,NA,0,6,1,1,NA,NA,0
FAM19A5,8,1,1,6,0.83,1,NA,NA,0,NA,NA,0
FAM200A,9,0.67,1,NA,NA,0,NA,NA,0,NA,NA,0
FAM204A,52,0.75,6,15,0.87,2,NA,NA,0,9,1,1
FAM20B,NA,NA,0,NA,NA,0,16,1,3,31,1.06,5
FAM20C,14,1.07,2,51,0.78,7,NA,NA,0,NA,NA,0
FAM32A,5,0.8,1,5,0.6,1,NA,NA,0,6,0.83,1
FAM38A,53,0.51,7,188,0.77,23,NA,NA,0,10,1.1,1
FAM3A,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
FAM3C,7,0.86,1,NA,NA,0,NA,NA,0,NA,NA,0
FAM40A,NA,NA,0,26,0.88,4,NA,NA,0,10,1.3,1
FAM40B,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
FAM43A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM46A,187,0.8,19,27,1,3,NA,NA,0,NA,NA,0
FAM46C,126,0.73,13,55,0.76,8,NA,NA,0,14,1.07,2
FAM47E,15,0.53,2,NA,NA,0,NA,NA,0,NA,NA,0
FAM48A,6,0.5,1,10,0.9,2,NA,NA,0,11,1,1
FAM49A,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FAM49B,NA,NA,0,6,0.67,1,NA,NA,0,12,1.17,2
FAM50A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM53B,157,0.81,16,109,0.68,15,NA,NA,0,20,0.8,3
FAM53C,610,0.84,35,228,0.8,21,17,1,1,149,1.02,9
FAM54A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM54B,6,0.67,1,NA,NA,0,NA,NA,0,NA,NA,0
FAM55C,149,0.8,17,60,0.78,6,10,1,1,9,0.89,1
FAM57A,20,0.65,3,25,0.68,4,NA,NA,0,NA,NA,0
FAM58A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM59A,160,0.89,18,68,0.84,8,8,1,2,7,0.86,1
FAM59B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM60A,36,0.89,4,27,0.48,3,NA,NA,0,11,1.27,1
FAM63A,NA,NA,0,7,0.71,1,NA,NA,0,NA,NA,0
FAM63B,54,0.65,8,39,0.87,5,NA,NA,0,10,0.6,1
FAM65A,NA,NA,0,20,0.6,3,NA,NA,0,NA,NA,0
FAM69A,23,0.7,3,NA,NA,0,NA,NA,0,NA,NA,0
FAM69B,15,0.67,2,76,0.74,9,NA,NA,0,NA,NA,0
FAM71D,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
FAM72B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM73A,140,0.69,17,16,0.81,1,6,0.83,1,64,0.77,8
FAM73B,9,0.56,1,18,0.72,3,NA,NA,0,38,1.03,1
FAM76A,NA,NA,0,NA,NA,0,NA,NA,0,9,1,1
FAM76B,6,0.5,1,NA,NA,0,NA,NA,0,NA,NA,0
FAM78A,9,0.78,1,5,0.8,1,NA,NA,0,NA,NA,0
FAM82A2,5,0.8,1,10,0.6,2,NA,NA,0,6,1.17,1
FAM82B,NA,NA,0,8,0.63,1,NA,NA,0,NA,NA,0
FAM83B,78,0.82,10,14,0.93,2,NA,NA,0,5,1,1
FAM83D,204,0.73,16,126,0.86,10,11,1.09,4,48,0.83,5
FAM83G,82,0.88,8,68,0.88,4,NA,NA,0,108,1.05,9
FAM83H,NA,NA,0,89,0.79,13,NA,NA,0,17,1,2
FAM84B,NA,NA,0,26,0.62,4,NA,NA,0,25,1.12,4
FAM86A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM86B2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM89A,6,0.5,1,34,0.76,4,NA,NA,0,NA,NA,0
FAM89B,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
FAM8A1,276,0.88,23,38,0.82,4,54,1.02,7,19,1.37,2
FAM91A1,35,0.86,5,5,0.6,1,NA,NA,0,21,1.1,3
FAM96A,15,0.6,2,19,0.79,3,NA,NA,0,18,1.17,2
FAM96B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAM98A,29,0.97,3,5,0.6,1,NA,NA,0,28,0.96,2
FAM98B,67,0.57,6,8,0.5,1,NA,NA,0,10,1.1,2
FAM98C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FAN1,NA,NA,0,6,0.83,1,NA,NA,0,12,1,2
FANCA,6,0.5,1,69,0.77,9,NA,NA,0,NA,NA,0
FANCB,100,0.76,9,10,0.7,2,7,0.71,1,42,1.02,5
FANCC,10,0.4,2,7,0.71,1,NA,NA,0,NA,NA,0
FANCD2,81,0.74,10,94,0.8,14,NA,NA,0,25,1,4
FANCE,NA,NA,0,18,0.78,3,NA,NA,0,NA,NA,0
FANCF,NA,NA,0,7,0.71,1,NA,NA,0,NA,NA,0
FANCG,NA,NA,0,26,0.73,4,NA,NA,0,NA,NA,0
FANCI,115,0.65,15,32,0.69,5,NA,NA,0,NA,NA,0
FANCL,NA,NA,0,16,1.19,3,NA,NA,0,NA,NA,0
FANCM,66,0.79,11,7,0.57,1,5,1,1,44,0.93,5
FAR1,572,0.83,33,88,0.8,10,74,1.08,10,238,1.09,17
FAR2,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FARP1,126,0.83,14,174,0.76,21,5,1.2,1,8,1,1
FARP2,98,0.8,12,183,0.79,20,NA,NA,0,NA,NA,0
FARS2,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
FARSA,12,0.42,1,74,0.76,7,6,1,1,10,1.1,1
FARSB,53,0.74,7,32,0.59,4,NA,NA,0,NA,NA,0
FASN,1604,0.75,85,3671,0.85,114,NA,NA,0,154,0.94,19
FASTK,10,0.4,2,NA,NA,0,NA,NA,0,NA,NA,0
FASTKD1,74,0.68,8,23,0.43,4,7,1,2,20,0.9,3
FASTKD2,188,0.82,16,20,0.7,3,8,1,1,101,1.13,6
FASTKD3,NA,NA,0,19,0.74,2,NA,NA,0,NA,NA,0
FASTKD5,NA,NA,0,NA,NA,0,6,1,1,69,0.96,8
FAT1,5300,0.86,186,2604,0.82,142,445,0.61,26,1063,0.99,65
FAT3,938,0.78,90,660,0.83,56,28,0.93,7,160,0.95,20
FAT4,1124,0.8,109,192,0.84,19,NA,NA,0,6,1.5,1
FAU,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FBF1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FBL,116,0.53,10,156,0.82,8,NA,NA,0,26,0.81,4
FBLIM1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FBLN1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FBN1,5,1,1,6,1,1,NA,NA,0,NA,NA,0
FBN2,309,0.66,34,165,0.8,19,NA,NA,0,25,0.96,3
FBN3,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
FBRS,22,0.64,1,154,0.86,12,NA,NA,0,29,0.86,4
FBRSL1,29,0.59,3,84,0.76,10,NA,NA,0,19,1,3
FBXL12,NA,NA,0,6,0.33,1,NA,NA,0,NA,NA,0
FBXL14,91,0.56,11,252,0.81,16,NA,NA,0,5,0.4,1
FBXL15,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FBXL16,NA,NA,0,5,0.2,1,NA,NA,0,NA,NA,0
FBXL17,73,0.82,9,12,0.58,2,NA,NA,0,5,1.4,1
FBXL18,42,0.71,4,137,0.84,17,NA,NA,0,76,1.03,6
FBXL19,57,0.72,6,284,0.7,27,NA,NA,0,70,0.9,8
FBXL2,NA,NA,0,NA,NA,0,NA,NA,0,16,1,1
FBXL20,91,0.84,12,156,0.89,15,NA,NA,0,NA,NA,0
FBXL3,397,0.86,26,61,0.8,7,107,1.17,6,293,1.14,17
FBXL4,247,0.81,21,71,0.7,7,6,0.83,1,5,1,1
FBXL5,285,0.86,21,48,0.65,5,NA,NA,0,83,1.06,5
FBXL7,NA,NA,0,NA,NA,0,NA,NA,0,9,1,1
FBXO10,9,0.56,1,13,0.85,2,NA,NA,0,NA,NA,0
FBXO11,166,0.75,16,230,0.73,7,135,0.53,2,6,0.33,1
FBXO17,23,0.61,4,96,0.83,11,5,1,1,7,1,1
FBXO18,30,0.77,4,214,0.82,17,NA,NA,0,20,1.05,2
FBXO21,630,0.81,42,225,0.89,15,20,1.2,3,391,0.98,19
FBXO22,134,0.78,10,19,0.84,3,NA,NA,0,36,0.86,3
FBXO25,13,1.23,2,47,0.79,5,NA,NA,0,NA,NA,0
FBXO28,3604,0.93,64,541,0.88,29,90,1.13,14,698,0.99,43
FBXO3,61,0.75,7,NA,NA,0,5,1.4,1,25,1.04,3
FBXO30,262,0.85,22,33,0.52,5,NA,NA,0,93,1.04,7
FBXO31,6,0.83,1,20,0.4,3,NA,NA,0,NA,NA,0
FBXO32,15,0.53,2,NA,NA,0,NA,NA,0,NA,NA,0
FBXO33,5,0.2,1,5,0.2,1,NA,NA,0,NA,NA,0
FBXO34,46,0.78,5,98,1.49,5,NA,NA,0,NA,NA,0
FBXO38,88,0.85,9,118,0.78,8,NA,NA,0,49,1.14,6
FBXO41,5,0.4,1,15,0.53,2,NA,NA,0,NA,NA,0
FBXO42,81,0.85,10,23,0.87,4,NA,NA,0,NA,NA,0
FBXO44,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FBXO45,651,0.83,44,131,0.88,13,48,0.98,5,175,0.94,11
FBXO46,101,0.83,9,240,0.85,19,NA,NA,0,19,0.79,3
FBXO5,214,0.91,13,7,1,1,17,1.12,1,50,0.98,3
FBXO7,203,0.76,18,91,0.79,10,15,1.2,2,51,0.84,6
FBXO9,75,0.67,9,43,0.84,5,NA,NA,0,NA,NA,0
FBXW11,621,0.86,36,217,0.88,19,20,0.95,1,104,0.89,6
FBXW2,806,0.9,23,347,0.78,19,10,0.7,2,63,0.84,7
FBXW4,NA,NA,0,9,0.22,1,NA,NA,0,NA,NA,0
FBXW5,NA,NA,0,42,0.76,7,NA,NA,0,6,0.83,1
FBXW7,10,0.5,2,28,0.89,4,NA,NA,0,NA,NA,0
FBXW8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FBXW9,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FCF1,5,0.8,1,7,0.43,1,NA,NA,0,NA,NA,0
FCGBP,5,1,1,NA,NA,0,NA,NA,0,5,1.2,1
FCGRT,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FCHO2,NA,NA,0,10,1,2,NA,NA,0,NA,NA,0
FCHSD2,16,0.63,2,10,1.1,2,NA,NA,0,5,1,1
FDFT1,177,0.75,18,127,0.87,10,NA,NA,0,13,1.31,1
FDPS,10,0.7,2,23,0.91,2,NA,NA,0,NA,NA,0
FDX1,58,0.71,7,22,0.73,3,NA,NA,0,NA,NA,0
FDX1L,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FDXACB1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FDXR,NA,NA,0,8,0.5,1,NA,NA,0,NA,NA,0
FECH,121,0.7,15,42,0.74,6,8,0.75,1,10,1.1,2
FEM1A,268,0.77,19,147,0.8,14,NA,NA,0,53,0.96,6
FEM1B,3788,0.96,43,1141,0.82,55,157,1,18,920,1,54
FEM1C,284,0.82,26,19,0.58,3,25,0.92,3,59,1.1,7
FEN1,95,0.76,9,44,0.77,3,NA,NA,0,5,1,1
FER,42,1,6,42,0.86,5,NA,NA,0,NA,NA,0
FER1L5,5,1,1,NA,NA,0,NA,NA,0,NA,NA,0
FERMT1,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
FERMT2,26,0.58,4,14,1.14,2,12,1.08,1,20,0.9,2
FEZ1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FEZ2,21,0.43,3,NA,NA,0,5,1,2,19,0.79,3
FEZF2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FGD1,20,1,2,52,0.75,8,NA,NA,0,6,1,1
FGD4,11,0.55,2,33,0.85,3,NA,NA,0,NA,NA,0
FGD6,NA,NA,0,6,0.83,1,NA,NA,0,5,1.2,1
FGF12,22,1.27,3,26,1.81,2,NA,NA,0,NA,NA,0
FGF13,NA,NA,0,14,0.64,2,NA,NA,0,NA,NA,0
FGF2,275,0.77,31,13,1,2,NA,NA,0,6,1,1
FGF5,12,0.92,2,NA,NA,0,NA,NA,0,NA,NA,0
FGF9,127,0.81,12,NA,NA,0,5,1.4,1,16,1.38,2
FGFR1,93,0.8,8,143,0.7,15,NA,NA,0,NA,NA,0
FGFR1OP,19,0.84,2,NA,NA,0,NA,NA,0,NA,NA,0
FGFR1OP2,89,0.82,9,26,0.81,3,NA,NA,0,21,0.9,3
FGFR2,20,0.7,3,46,0.83,7,11,1,2,31,1.13,3
FGFR3,5,1,1,7,0.43,1,NA,NA,0,NA,NA,0
FGFR4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FGFRL1,NA,NA,0,15,0.8,2,NA,NA,0,NA,NA,0
FGGY,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FH,NA,NA,0,12,0.83,1,NA,NA,0,15,0.93,2
FHIT,NA,NA,0,61,1.11,9,NA,NA,0,NA,NA,0
FHL1,60,0.6,9,32,1.09,2,5,1,1,8,1,1
FHL2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FHL3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FHOD1,NA,NA,0,36,0.61,6,NA,NA,0,NA,NA,0
FHOD3,6,1,1,44,0.95,5,12,1,1,12,1,2
FIBP,8,0.75,1,14,0.71,2,NA,NA,0,NA,NA,0
FIG4,NA,NA,0,10,1,2,NA,NA,0,NA,NA,0
FIGLA,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FIGN,116,0.71,14,39,0.54,4,5,1.2,2,NA,NA,0
FIGNL1,593,0.81,44,112,0.79,8,56,0.98,9,171,0.96,13
FIP1L1,NA,NA,0,35,0.71,4,NA,NA,0,NA,NA,0
FIS1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FITM2,147,0.75,16,18,0.94,3,NA,NA,0,5,1.2,1
FIZ1,NA,NA,0,15,0.67,1,NA,NA,0,10,0.6,2
FJX1,85,0.64,8,55,0.75,7,NA,NA,0,26,0.88,1
FKBP10,10,0.1,1,NA,NA,0,NA,NA,0,NA,NA,0
FKBP11,NA,NA,0,17,0.82,3,NA,NA,0,NA,NA,0
FKBP14,102,0.75,12,6,0.17,1,NA,NA,0,NA,NA,0
FKBP15,NA,NA,0,14,1,2,NA,NA,0,NA,NA,0
FKBP1A,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
FKBP3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FKBP4,115,0.77,11,134,0.69,10,NA,NA,0,15,0.73,3
FKBP5,45,0.73,6,30,0.53,4,NA,NA,0,19,0.95,3
FKBP8,NA,NA,0,70,0.79,7,NA,NA,0,NA,NA,0
FKBPL,NA,NA,0,10,0.6,2,NA,NA,0,NA,NA,0
FKRP,17,0.94,2,69,0.81,6,NA,NA,0,49,0.94,3
FKTN,60,0.75,8,20,0.85,2,NA,NA,0,21,1.14,2
FLAD1,17,0.76,3,39,0.64,5,NA,NA,0,13,1,1
FLCN,6,0.83,1,22,0.91,3,NA,NA,0,18,1.06,1
FLI1,5,0.2,1,5,1,1,NA,NA,0,NA,NA,0
FLII,31,0.55,5,168,0.84,18,NA,NA,0,40,1.2,2
FLNA,2002,0.74,97,3238,0.84,122,11,0.82,2,235,0.92,20
FLNB,183,0.68,24,387,1.09,33,NA,NA,0,33,0.97,3
FLOT1,5,0.4,1,6,0.83,1,NA,NA,0,NA,NA,0
FLOT2,15,1,2,38,0.76,4,NA,NA,0,NA,NA,0
FLT1,27,0.52,3,6,0.17,1,NA,NA,0,NA,NA,0
FLT4,NA,NA,0,8,0.88,1,9,0.11,1,19,0.05,1
FLVCR1,540,0.84,35,111,0.78,11,8,1,1,18,1.22,3
FLYWCH1,341,0.99,1,85,0.89,8,NA,NA,0,12,1,1
FMN2,47,0.87,5,89,0.85,9,NA,NA,0,NA,NA,0
FMNL1,26,1.19,1,5,0.6,1,NA,NA,0,NA,NA,0
FMNL2,24,0.58,4,21,0.76,3,NA,NA,0,10,0.8,2
FMNL3,6,0.67,1,16,0.81,3,9,1,1,NA,NA,0
FMO4,7,0.86,1,NA,NA,0,NA,NA,0,NA,NA,0
FMO5,51,0.88,4,39,0.97,1,NA,NA,0,6,0.83,1
FMR1,9660,0.94,18,764,0.75,23,NA,NA,0,20,0.9,3
FN1,NA,NA,0,5,0.2,1,NA,NA,0,5,1,1
FN3KRP,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FNBP1,51,0.78,7,21,0.9,2,NA,NA,0,18,0.83,3
FNBP1L,133,0.73,14,35,0.8,4,6,1,1,12,0.92,2
FNBP4,31,0.58,5,58,0.64,7,NA,NA,0,NA,NA,0
FNDC3A,295,0.75,31,192,0.88,11,NA,NA,0,102,1,12
FNDC3B,24,0.88,3,48,0.96,7,NA,NA,0,NA,NA,0
FNIP1,347,0.8,33,128,0.77,14,28,1.07,7,124,1.07,11
FNIP2,58,0.74,8,221,0.77,20,6,1,1,17,0.88,2
FNTA,36,0.72,5,5,1.8,1,NA,NA,0,6,0.83,1
FOPNL,6,1.17,1,12,0.83,2,5,0.6,2,11,1.18,1
FOS,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FOSB,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FOSL2,33,0.79,5,6,0.83,1,NA,NA,0,NA,NA,0
FOXA1,NA,NA,0,NA,NA,0,NA,NA,0,5,1,1
FOXA2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FOXB1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FOXC1,178,0.87,9,354,0.89,9,5,1,1,355,1.06,6
FOXD2,NA,NA,0,6,1.17,1,NA,NA,0,10,1.2,1
FOXD3,NA,NA,0,5,0.2,1,NA,NA,0,NA,NA,0
FOXE1,5,0.4,1,NA,NA,0,NA,NA,0,NA,NA,0
FOXF2,11,0.64,2,25,0.96,3,NA,NA,0,NA,NA,0
FOXG1,5,1,1,5,1,1,NA,NA,0,NA,NA,0
FOXJ1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FOXJ2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FOXJ3,1315,0.87,56,344,0.83,21,27,0.67,4,211,0.97,21
FOXK1,1504,0.8,83,938,0.78,77,NA,NA,0,348,0.93,26
FOXK2,423,0.78,31,411,0.79,40,NA,NA,0,60,0.95,7
FOXM1,146,0.66,16,149,0.81,14,6,0.67,2,15,0.87,2
FOXN2,289,0.81,29,6,1.33,1,44,1.14,8,16,1,2
FOXN3,223,0.78,15,129,0.78,11,5,1.2,1,NA,NA,0
FOXO1,54,0.83,5,19,0.89,2,NA,NA,0,15,1,2
FOXO3,523,0.88,35,242,0.79,22,NA,NA,0,71,0.9,11
FOXO4,NA,NA,0,12,0.83,2,NA,NA,0,NA,NA,0
FOXO6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FOXP1,NA,NA,0,42,1,4,16,1,2,NA,NA,0
FOXP2,NA,NA,0,11,0.82,2,NA,NA,0,NA,NA,0
FOXP4,25,1,1,116,0.97,4,NA,NA,0,NA,NA,0
FOXQ1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FOXRED1,NA,NA,0,8,0.63,1,NA,NA,0,NA,NA,0
FOXRED2,123,0.73,12,384,0.82,27,10,1,2,22,1.05,2
FPGS,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
FRAS1,NA,NA,0,22,0.59,3,5,1.2,1,NA,NA,0
FRAT1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FRAT2,24,0.5,4,19,0.74,3,NA,NA,0,NA,NA,0
FREM2,65,0.65,7,26,0.69,4,NA,NA,0,NA,NA,0
FRMD3,6,2,1,NA,NA,0,NA,NA,0,5,2,1
FRMD4A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FRMD4B,NA,NA,0,15,0.87,2,NA,NA,0,NA,NA,0
FRMD5,NA,NA,0,11,0.73,2,NA,NA,0,NA,NA,0
FRMD6,257,0.77,28,29,0.52,3,11,1.09,2,57,1.07,7
FRMD8,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
FRMPD3,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
FRMPD4,NA,NA,0,44,1.09,7,NA,NA,0,NA,NA,0
FRRS1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FRS2,346,0.76,35,16,1,2,7,1.29,1,11,1.09,2
FRS3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FRYL,58,0.76,8,18,0.83,3,NA,NA,0,16,1.06,3
FSCN1,10,0.6,2,55,0.71,4,NA,NA,0,14,1,2
FSD1,7,1,1,5,1,1,NA,NA,0,NA,NA,0
FSTL1,42,0.76,4,5,0.8,1,NA,NA,0,15,1.13,1
FSTL4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FSTL5,11,1.27,1,5,1,1,NA,NA,0,6,2,1
FTH1,6,0.17,1,NA,NA,0,NA,NA,0,NA,NA,0
FTL,NA,NA,0,NA,NA,0,NA,NA,0,5,0.8,1
FTO,6,1,1,48,1.17,5,NA,NA,0,6,0.83,1
FTSJ1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FTSJ2,15,0.6,2,NA,NA,0,NA,NA,0,NA,NA,0
FTSJ3,61,0.74,8,53,0.77,7,NA,NA,0,6,0.83,1
FTSJD1,198,0.86,20,47,0.72,4,10,1,3,35,1.11,4
FTSJD2,48,0.81,5,92,0.89,9,NA,NA,0,5,1.2,1
FUBP1,33,0.67,4,22,0.64,3,NA,NA,0,24,1.17,3
FUBP3,150,0.73,17,109,0.69,14,5,0.8,1,53,0.81,6
FUCA1,6,0.67,1,NA,NA,0,NA,NA,0,NA,NA,0
FUCA2,19,0.74,3,NA,NA,0,NA,NA,0,NA,NA,0
FUK,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FUNDC2,14,1.14,2,16,0.56,3,NA,NA,0,12,0.17,1
FURIN,57,0.67,8,128,0.73,13,NA,NA,0,NA,NA,0
FUS,119,0.77,7,217,0.44,12,NA,NA,0,63,0.94,6
FUT1,5,0.4,1,NA,NA,0,NA,NA,0,NA,NA,0
FUT10,374,0.76,30,114,0.83,8,NA,NA,0,11,1.09,2
FUT11,NA,NA,0,19,0.79,2,NA,NA,0,5,1,1
FUT4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
FUT8,44,0.8,7,27,1.26,3,NA,NA,0,NA,NA,0
FUZ,5,0.4,1,21,0.95,3,NA,NA,0,NA,NA,0
FXC1,36,0.86,4,18,0.5,3,NA,NA,0,NA,NA,0
FXN,7,1,1,5,1,1,5,1,2,NA,NA,0
FXR1,134,0.79,13,54,0.72,7,1045,1,17,77,1.01,8
FXR2,403,0.83,25,422,0.83,24,11,0.91,2,4382,1.01,27
FXYD5,NA,NA,0,6,0.5,1,NA,NA,0,NA,NA,0
FYCO1,167,0.72,21,206,0.83,26,NA,NA,0,NA,NA,0
FYN,162,0.79,15,102,0.83,11,39,0.9,4,52,0.9,4
FYTTD1,40,0.78,6,5,1,1,5,1.2,1,26,1.23,3
FZD1,29,0.76,4,18,0.61,2,NA,NA,0,8,1,1
FZD2,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
FZD3,532,0.77,50,118,0.75,15,20,1.05,3,48,0.98,6
FZD4,124,0.81,14,65,0.57,6,NA,NA,0,NA,NA,0
FZD5,144,0.76,16,77,0.74,10,NA,NA,0,5,0.6,1
FZD6,243,0.82,27,13,0.31,2,5,0.8,1,34,1.03,6
FZD7,66,0.7,10,27,0.37,4,NA,NA,0,NA,NA,0
FZD8,43,0.53,6,75,0.84,7,NA,NA,0,81,0.84,10
FZD9,5,0.2,1,16,1.31,1,NA,NA,0,NA,NA,0
FZR1,16,0.44,3,54,0.96,6,NA,NA,0,13,1.31,2
G2E3,118,0.78,13,19,0.42,3,10,1.1,1,12,1.33,1
G3BP1,3540,0.9,82,320,0.82,31,168,1.05,17,296,0.99,23
G3BP2,1675,0.88,52,150,0.76,10,181,1.07,13,435,1.04,19
G6PC3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
